Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UBER,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2024-10-16,0.03153,0.0,0.00544,0.04301,0.0,0.0,0.02596,0.0,0.05699,0.0,0.0,0.0,0.0,0.0,0.0,0.08376,0.0,0.0,0.0,0.0,0.0,0.08561,0.0,0.0,0.10291,0.0,0.01202,0.0,0.0,0.0,0.0,0.0,0.0,0.05928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01593,0.0,0.06988,0.0,0.0,0.0,0.0,0.15526,0.0,0.0,0.0,0.03473,0.0,0.0,0.0,0.0,0.0,0.06035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08478,0.0,0.0181,0.0,0.0,0.0,0.0,0.00913,0.0,0.02034,0.00366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.01364,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,0.03231,0.0,0.0,0.0423,0.0,0.0,0.03116,0.0,0.05678,0.0,0.0,0.0,0.0,0.0,0.0,0.08294,0.0,0.0,0.0,0.0,0.0,0.08659,0.0,0.0,0.11314,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.06075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485,0.0,0.07165,0.0,0.0,0.0,0.0,0.14416,0.0,0.0,0.0,0.0365,0.0,0.0,0.0,0.0,0.0,0.04822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.0,0.03111,0.0,0.0,0.0,0.0,0.01238,0.0,0.01866,0.00212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00517,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-18,0.0447,0.0,0.0,0.04337,0.0,0.0,0.02634,0.0,0.05195,0.0,0.0,0.0,0.0,0.0,0.0,0.09346,0.0,0.0,0.0,0.0,0.0,0.08306,0.0,0.0,0.12043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00913,0.0,0.07988,0.0,0.0,0.0,0.0,0.13404,0.0,0.0,0.0,0.03823,0.0,0.0,0.0,0.0,0.0,0.04229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11655,0.0,0.03565,0.0,0.0,0.0,0.0,0.01417,0.0,0.00391,0.0,0.0,0.0,0.0,0.0,0.01067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,0.04556,0.0,0.0,0.04273,0.0,0.0,0.02636,0.0,0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.08125,0.0,0.0,0.11878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00893,0.0,0.0782,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.03686,0.0,0.0,0.0,0.0,0.0,0.04305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635,0.0,0.03527,0.0,0.0,0.0,0.0,0.01264,0.0,0.00564,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.05491,0.0,0.0,0.03742,0.0,0.0,0.02621,0.0,0.03058,0.0,0.0,0.0,0.0,0.0,0.0,0.09239,0.0,0.0,0.0,0.0,0.0,0.0797,0.0,0.0,0.10934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00431,0.0,0.08782,0.0,0.0,0.0,0.0,0.17528,0.0,0.0,0.0,0.02141,0.0,0.0,0.0,0.0,0.0,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13531,0.0,0.02837,0.0,0.0,0.0,0.0,0.0,0.0,0.00794,0.0,0.0,0.00589,0.0,0.0,0.00699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,0.04818,0.0,0.0,0.03408,0.0,0.0,0.02659,0.0,0.02808,0.0,0.0,0.0,0.0,0.0,0.0,0.09287,0.0,0.0,0.0,0.0,0.0,0.08724,0.0,0.0,0.12568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06949,0.0,0.0,0.0,0.0,0.07076,0.0,0.0,0.0,0.03011,0.0,0.0,0.0,0.0,0.0,0.02588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466,0.0,0.04729,0.0,0.02889,0.0,0.0,0.05397,0.0,0.0,0.017,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-24,0.03299,0.0,0.0,0.02282,0.0,0.0,0.03139,0.0,0.03702,0.0,0.0,0.0,0.0,0.0,0.0,0.08745,0.0,0.0,0.0,0.0,0.0,0.13312,0.0,0.0,0.12814,0.0,0.00354,0.0,0.0,0.0,0.0,0.0,0.0,0.0503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00575,0.0,0.06917,0.0,0.0,0.0,0.0,0.03062,0.0,0.0,0.0,0.00953,0.0,0.0,0.0,0.0,0.0,0.01126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13744,0.0,0.07154,0.0,0.00617,0.0,0.0,0.08878,0.00393,0.0,0.02318,0.0,0.01269,0.0,0.0,0.0,0.0,0.0,0.0,0.00317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,0.03068,0.0,0.0,0.01744,0.0,0.0,0.03229,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.09227,0.0,0.0,0.0,0.0,0.0,0.14434,0.0,0.0,0.12911,0.0,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.04014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837,0.0,0.05039,0.0,0.0,0.0,0.0,0.03719,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.01545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13373,0.0,0.06794,0.0,0.01266,0.0,0.0,0.08171,0.00284,0.00333,0.02966,0.0,0.00065,0.0,0.0,0.00722,0.0,0.0,0.0,0.00533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,0.04294,0.0,0.0,0.00644,0.0,0.0,0.0295,0.0,0.08415,0.0,0.0,0.0,0.0,0.0,0.0,0.09814,0.0,0.0,0.0,0.0,0.0,0.05457,0.0,0.0,0.12342,0.0,0.01055,0.0,0.0,0.0,0.0,0.0,0.0,0.04075,0.0,0.0,0.0,0.0,0.01085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01534,0.0,0.0,0.0,0.0,0.0,0.0,0.02316,0.0,0.0,0.0,0.00189,0.0,0.0,0.0,0.0,0.0,0.00882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15474,0.0,0.14968,0.0,0.00596,0.0,0.0,0.11374,0.0,0.00309,0.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,0.04343,0.0,0.0,0.00582,0.0,0.0,0.02918,0.0,0.08342,0.0,0.0,0.0,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0557,0.0,0.0,0.12063,0.0,0.01302,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0,0.0,0.0,0.0,0.00856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607,0.0,0.0,0.0,0.0,0.0,0.0,0.01583,0.0,0.0,0.0,0.00358,0.0,0.0,0.0,0.0,0.0,0.01024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14577,0.0,0.15796,0.0,0.00252,0.0,0.0,0.12214,0.0,0.0021,0.00888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
